"('updated to: ', Timestamp('2019-12-09 11:31:00'))",Name,PTS,REB,AST,STL,BLK,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
0,James Harden,38.5,6.1,7.4,2.0,0.5,10.5,24.3,43.1,4.7,14.0,33.9,12.8,14.6,87.6
1,Giannis Antetokounmpo,30.8,13.1,5.4,1.3,1.3,11.4,20.3,56.4,1.6,5.0,31.6,6.4,10.8,59.3
2,Luka Doncic,30.0,9.8,9.2,1.3,0.1,9.7,20.3,47.6,3.0,9.5,32.0,7.6,9.3,81.4
3,Trae Young,28.8,4.1,8.4,1.3,0.0,9.5,20.5,46.2,3.5,8.9,38.8,6.4,7.5,86.0
4,Bradley Beal,28.0,4.5,7.0,1.0,0.2,9.6,21.3,45.3,2.6,7.7,34.3,6.0,7.2,83.6
5,Anthony Davis,27.7,9.0,3.3,1.5,2.7,9.7,19.0,50.7,1.1,3.3,33.3,7.3,8.3,87.0
6,Damian Lillard,26.7,4.6,7.4,1.0,0.5,8.3,18.7,44.3,3.1,9.0,35.0,7.0,7.7,91.1
7,LeBron James,25.9,6.8,10.8,1.3,0.5,10.0,19.9,50.1,2.2,6.0,36.4,3.8,5.4,70.5
8,Karl-Anthony Towns,25.8,11.6,4.7,1.1,1.4,8.9,17.4,50.9,3.7,8.7,42.2,4.5,5.6,80.2
9,Devin Booker,25.5,3.9,6.2,0.6,0.3,8.9,17.4,51.2,2.3,5.6,41.5,5.3,5.8,91.4
10,Kawhi Leonard,25.1,7.9,5.2,1.9,0.8,8.9,20.0,44.7,1.7,5.1,33.0,5.5,6.4,85.3
11,Pascal Siakam,24.6,8.5,3.7,0.9,0.7,9.3,20.1,46.0,2.3,6.2,36.5,3.8,4.7,81.6
12,Donovan Mitchell,24.6,4.7,3.6,1.3,0.3,9.0,20.5,43.9,2.3,6.1,37.6,4.3,5.2,83.2
13,Brandon Ingram,24.6,7.0,4.0,0.8,0.9,8.8,17.9,49.3,2.2,5.3,41.6,4.7,5.6,83.2
14,Andrew Wiggins,24.6,5.2,3.3,0.6,1.2,9.2,20.3,45.4,2.2,6.6,33.9,3.9,5.4,71.4
15,Zach LaVine,22.3,4.2,3.9,1.3,0.5,7.6,17.8,42.9,3.0,7.4,40.1,4.1,5.1,80.5
16,CJ McCollum,22.0,4.5,3.8,0.8,0.9,8.8,19.8,44.7,2.6,6.8,38.7,1.7,2.1,80.4
17,Joel Embiid,21.9,12.5,2.9,0.9,1.4,7.0,15.3,45.9,1.1,3.5,31.3,6.8,8.5,80.7
18,Russell Westbrook,21.9,8.4,7.5,1.6,0.4,8.1,20.0,40.6,1.2,5.3,21.9,4.5,6.1,73.8
19,Kemba Walker,21.8,4.6,5.0,1.0,0.6,7.1,17.2,41.3,3.5,8.9,39.5,4.1,4.5,91.1
20,DeMar DeRozan,21.4,5.7,4.8,1.0,0.5,8.2,16.2,50.8,0.2,0.6,35.7,4.7,5.8,81.3
21,Buddy Hield,21.2,4.8,2.7,0.8,0.4,7.7,18.4,41.8,3.8,10.3,36.7,2.1,2.5,85.2
22,Jayson Tatum,21.2,7.0,2.9,1.4,0.7,7.7,18.6,41.2,2.4,6.8,35.7,3.4,4.1,82.8
23,Bojan Bogdanovic,20.9,4.4,2.1,0.7,0.2,7.1,15.2,46.7,3.1,6.9,45.4,3.6,4.0,88.8
24,Jimmy Butler,20.6,6.3,6.8,2.2,0.8,5.8,13.5,43.2,1.1,3.5,30.3,7.9,9.4,84.3
25,Spencer Dinwiddie,20.6,2.9,6.2,0.9,0.5,6.8,15.9,42.6,1.9,6.0,31.2,5.2,6.1,85.0
26,Lou Williams,20.6,3.2,6.2,0.5,0.1,6.7,15.9,42.1,1.8,4.9,35.9,5.4,6.4,85.0
27,Jaylen Brown,20.0,6.9,1.9,1.2,0.3,7.5,15.1,49.6,2.1,5.3,38.5,2.9,4.1,72.6
28,Evan Fournier,19.7,2.9,3.2,1.0,0.2,6.9,14.2,48.7,2.7,6.1,44.4,3.2,3.8,84.3
29,Jrue Holiday,19.2,5.0,6.7,2.0,0.7,7.8,17.3,44.8,1.8,5.3,33.3,2.0,2.7,71.9
30,Tobias Harris,19.2,7.0,3.1,0.9,0.8,7.6,15.5,48.8,1.4,4.5,31.8,2.6,3.3,79.7
31,Malcolm Brogdon,19.0,4.9,7.7,0.9,0.2,6.9,14.7,47.3,1.5,4.3,34.6,3.6,3.9,93.2
32,LaMarcus Aldridge,18.9,7.0,2.4,0.6,1.8,7.7,15.0,51.3,0.6,1.6,36.4,3.0,3.5,83.8
33,Devonte' Graham,18.8,3.8,7.8,0.7,0.2,6.1,15.2,40.4,3.6,8.7,41.5,3.0,3.7,80.6
34,Montrezl Harrell,18.8,7.8,2.1,0.8,1.2,7.8,12.9,60.0,0.0,0.4,0.0,3.3,5.3,62.2
35,Shai Gilgeous-Alexander,18.7,5.1,3.0,1.0,0.5,6.8,15.5,43.7,1.5,4.1,35.6,3.7,4.6,80.4
36,T.J. Warren,18.7,3.3,1.0,1.1,0.3,7.6,14.8,51.5,1.3,3.2,40.5,2.2,2.7,82.0
37,Ja Morant,18.6,3.2,6.4,1.4,0.3,6.9,15.2,45.7,0.9,2.3,41.0,3.8,5.0,76.5
38,Marcus Morris Sr.,18.6,5.8,1.3,0.9,0.6,6.0,14.2,42.5,2.9,5.7,50.0,3.6,4.3,84.4
39,Domantas Sabonis,18.4,13.1,3.7,0.8,0.6,7.3,14.0,51.9,0.2,1.1,20.8,3.6,4.6,78.1
40,Danilo Gallinari,18.3,5.7,2.1,0.7,0.1,5.6,12.5,44.6,2.7,6.8,40.3,4.4,4.8,91.4
41,Jamal Murray,18.2,4.3,4.8,1.5,0.4,6.9,15.8,43.7,1.7,5.0,34.0,2.7,3.0,90.3
42,Fred VanVleet,18.0,3.8,7.0,2.0,0.1,5.7,14.0,40.9,2.6,6.7,39.5,3.9,4.4,87.6
43,Collin Sexton,17.7,3.1,2.4,0.9,0.0,6.8,15.5,43.6,1.1,3.5,32.1,3.0,3.8,80.7
44,Andre Drummond,17.7,17.0,3.1,1.7,2.0,7.4,13.7,54.5,0.0,0.5,0.0,2.8,4.4,62.7
45,Terry Rozier,17.5,4.4,4.2,1.2,0.2,6.2,14.3,43.4,2.8,6.7,41.3,2.4,2.7,86.8
46,Kelly Oubre Jr.,17.2,6.0,1.5,1.4,0.7,6.0,13.7,44.2,1.5,4.6,32.7,3.6,4.7,76.9
47,Eric Paschall,17.1,5.3,1.8,0.4,0.3,6.3,12.4,50.7,0.7,2.4,30.4,3.7,4.6,81.1
48,Julius Randle,16.7,8.6,3.4,0.7,0.1,6.1,14.0,43.6,0.8,3.5,23.7,3.7,5.7,66.2
49,Kristaps Porzingis,16.4,8.7,1.4,0.5,2.0,5.9,14.7,39.8,2.0,5.9,33.8,2.7,3.8,70.2
50,Luke Kennard,16.4,3.5,4.3,0.5,0.2,5.6,12.5,44.9,2.6,6.5,40.8,2.6,2.9,89.1
51,Harrison Barnes,16.3,5.2,2.3,0.9,0.2,5.6,11.9,47.5,1.3,3.6,36.3,3.7,4.7,79.6
52,Dennis Schroder,16.3,3.8,3.6,0.7,0.3,6.3,13.9,45.4,1.5,4.5,32.0,2.2,2.7,80.0
53,Jaren Jackson Jr.,16.2,4.9,1.4,0.5,1.1,5.9,13.0,45.2,2.1,5.5,38.3,2.4,3.0,80.6
54,Jabari Parker,16.2,6.3,1.9,1.5,0.5,6.7,13.3,50.2,1.0,3.8,27.6,1.8,2.5,72.4
55,Kevin Love,16.1,10.5,2.7,0.7,0.4,4.9,11.1,44.0,2.2,5.8,37.1,4.2,4.7,88.2
56,Nikola Jokic,16.1,10.1,6.1,1.1,0.6,6.6,14.1,46.5,0.9,4.0,22.9,2.0,2.6,79.6
57,Chris Paul,16.0,4.1,5.8,1.6,0.1,5.2,11.5,45.2,1.6,4.3,37.2,4.0,4.5,89.0
58,Goran Dragic,15.9,3.2,5.0,0.7,0.2,5.4,11.6,46.6,2.2,5.3,40.6,3.0,4.2,71.1
59,Derrick Rose,15.8,2.0,5.7,0.8,0.4,6.3,12.9,48.5,0.7,2.2,32.5,2.5,2.9,86.5
