"Player","FG","FGA","3P","3PA","FT","FTA","TRB","AST","STL","BLK","TOV","PF","FG%","3P%","FT%"
,,,,,,,,,,,,,,,
"Álex Abrines",10.1,2.6,7.2,1.2,1.4,0.7,1.4,1.1,0.4,1,3.5,11.7,0.358,0.853,
"Quincy Acy",9.8,2.2,6.7,1.7,2.2,1.1,1.9,0.8,0.8,1.6,4.2,11.3,0.338,0.777,
"Jaylen Adams",10.3,2,5.8,1.2,1.5,1.1,5.1,1.2,0.5,2.2,3.5,11.4,0.351,0.778,
"Steven Adams",10.7,0.1,0.2,2.1,4,5.2,1.6,1.5,1.1,1.9,2.9,15.1,0.315,0.539,
"Bam Adebayo",9.4,0.1,0.5,3.2,4.4,3.1,3.4,1.2,1.2,2.1,3.6,13.9,0.28,0.742,
"Deng Adel",9.7,1.4,4.5,1.7,2,1,2.2,0.6,0.8,1.5,2.7,11.1,0.317,0.821,
"DeVaughn Akoon-Purcell",13.6,1.5,5,2.5,3.4,1.6,4.4,1.4,0.7,2.2,3.5,16.1,0.304,0.74,
"LaMarcus Aldridge",17.8,0.3,1,4.5,5.3,3.2,2.4,0.6,1.3,1.8,2.4,22.8,0.291,0.836,
"Rawle Alkins",12.6,1.4,4.2,2.6,3.5,2.3,3.9,0.8,0.4,2.2,2.6,14.6,0.329,0.733,
"Grayson Allen",14.8,2.5,7.4,3.6,4.7,0.6,2.6,0.7,0.6,2.6,3.7,18.1,0.336,0.759,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Jarrett Allen",10,0.2,0.9,3.3,4.5,3.4,1.9,0.8,2.1,1.8,3.2,15.4,0.23,0.736,
"Kadeem Allen",12.1,1.4,3.6,3.3,4.2,1,5.6,1.3,0.5,2.3,3.8,15.6,0.393,0.776,
"Al-Farouq Aminu",9.7,1.7,4.8,2,2.4,1.7,1.7,1.2,0.6,1.3,2.3,11.8,0.35,0.825,
"Justin Anderson",12.9,1.9,6,2.3,3,1.8,2.1,1.4,0.8,1.7,3.5,15.2,0.323,0.76,
"Kyle Anderson",8.2,0.4,1.2,1.5,2.2,1.4,3.6,1.7,1,1.7,2.7,10.5,0.319,0.673,
"Ryan Anderson",10.5,2.4,6.6,1.7,2.2,1.9,1.6,0.6,0.4,1.1,2.7,12.8,0.366,0.787,
"Ike Anigbogu",12.9,1.5,3.9,2.8,3.6,2,3.4,1.1,1.2,2.2,2.7,15.9,0.372,0.787,
"Giannis Antetokounmpo",18.3,0.7,2.6,6.9,9.3,2.2,5.8,1.4,1.6,3.5,3.3,28.1,0.28,0.746,
"Kostas Antetokounmpo",13,1.6,4.4,2.9,4.1,1.5,3.5,1.5,0.7,2.1,2.9,16.3,0.366,0.723,
"Carmelo Anthony",16.8,2.3,6.6,2.5,3.3,1,1.8,0.7,0.7,1.6,3,18.5,0.346,0.773,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"OG Anunoby",10.1,1.8,5.1,1.1,1.7,1.4,1.5,1.3,0.5,1.4,3.4,12.5,0.356,0.634,
"Ryan Arcidiacono",7.9,1.5,4,1.7,1.9,0.6,4.8,1.2,0.1,1.2,3,10.3,0.372,0.86,
"Trevor Ariza",11,2.3,6.8,1.7,2.1,0.7,3,1.5,0.3,1.4,2.1,12.8,0.341,0.794,
"D.J. Augustin",11,2.1,5.2,3,3.5,0.7,6.2,0.9,0.1,2.2,2,15.1,0.407,0.856,
"Deandre Ayton",14.3,0.1,0.4,2.4,3.2,3.6,2.2,1,1.1,2,3.3,19.5,0.309,0.758,
"Dwayne Bacon",11.6,1.5,3.6,1.6,2.1,0.5,2.4,0.7,0.3,1.1,3,13.7,0.401,0.76,
"Marvin Bagley",15.9,0.8,2.4,4.1,5.8,3.6,1.7,0.8,1.3,2.2,2.7,21.4,0.334,0.709,
"Ron Baker",8,1,3.5,1.8,2.3,0.7,4,1.7,0.5,1.8,3.3,8.9,0.278,0.761,
"Wade Baldwin",12,1.2,3.5,2.8,3.7,1.1,4.1,1,0.7,3.1,3.6,14.1,0.341,0.753,
"Lonzo Ball",11.5,1.9,5.7,0.7,1.4,1.4,6.8,1.8,0.7,2.6,2.6,12,0.332,0.496,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Mohamed Bamba",11.7,1.1,3.5,2,3.1,2.8,2.2,0.7,2.7,2,4.4,14.6,0.325,0.636,
